taxon,species,color_desc,flowering_months,family,color_id,red,orange,yellow,green,blue,purple,pink,white,brown,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,inat_phen,ob_num
Abutilon theophrasti Medik.,Abutilon theophrasti,Yellow,"aug, oct",Malvaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,224
Acalypha virginica L.,Acalypha rhomboidea,Greenish,"jun,oct",Euphorbiaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,4
Achillea millefolium L.,Achillea millefolium,"White, pink","jun, sep",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,2526
Acorus calamus L.,Acorus calamus,Greenish yellow,jul,Acoraceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,9
Actaea pachypoda Elliott,Actaea pachypoda,White,"may,jun",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,588
Actaea podocarpa DC.,Cimicifuga americana,White,"aug,oct",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,2
Actaea racemosa L.,Cimicifuga racemosa,White,"jun,sep",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,554
Actaea rubra (Aiton) Willd.,Actaea rubra,White,"may,jun",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,440
Agalinis maritima (Raf.) Raf.,Gerardia maritima,"Pink, purple","jul, oct",Orobanchaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,26
Agalinis tenuifolia (Vahl) Raf.,Gerardia tenuifolia,"Pink, purple","jul, nov",Orobanchaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,226
Agastache nepetoides (L.) Kuntze,Agastache nepetoides,Pale greenish-yellow,"jul, sep",Lamiaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,64
Agastache scrophulariifolia (Willd.) Kuntze,Agastache scrophulariifolia,Purplish,"jul, sep",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,25
Ageratina aromatica (L.) Spach,Eupatorium aromaticum,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE,35
