taxon,species,color_desc,flowering_months,family,color_id,red,orange,yellow,green,blue,purple,pink,white,brown,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,inat_phen
Abutilon theophrasti Medik.,Abutilon theophrasti,Yellow,"aug, oct",Malvaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Acalypha virginica L.,Acalypha rhomboidea,Greenish,"jun,oct",Euphorbiaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Achillea millefolium L.,Achillea millefolium,"White, pink","jun, sep",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Amaranthus cannabinus (L.) Sauer,Acnida cannabina,Green,"jun,nov",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Acorus calamus L.,Acorus calamus,Greenish yellow,jul,Acoraceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
Actaea pachypoda Elliott,Actaea pachypoda,White,"may,jun",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Actaea rubra (Aiton) Willd.,Actaea rubra,White,"may,jun",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Verbesina alternifolia (L.) Britton ex Kearney,Actinomeris alternifolia,Yellow,"jul,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Agastache nepetoides (L.) Kuntze,Agastache nepetoides,Pale greenish-yellow,"jul, sep",Lamiaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Agastache scrophulariifolia (Willd.) Kuntze,Agastache scrophulariifolia,Purplish,"jul, sep",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Agrimonia gryposepala Wallr.,Agrimonia gryposepala,Yellow,"jun, sep",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Agrimonia rostellata Wallr.,Agrimonia rostellata,Yellow,"jul, sep",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Agrimonia striata Michx.,Agrimonia striata,Yellow,"jun, sep",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Agrostemma githago L.,Agrostemma githago,Purplish red,"may,sep",Caryophyllaceae,red,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Ajuga reptans L.,Ajuga reptans,Blue,"may, jun",Lamiaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Aletris farinosa L.,Aletris farinosa,Whitish,"may,aug",Nartheciaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Alisma subcordatum Raf.,Alisma subcordatum,White,"jun, oct",Alismataceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Alisma triviale Pursh,Alisma triviale,White,"mar, nov",Alismataceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata,White,"may, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Allium canadense L.,Allium canadense,"Whitish, pink","jun,jul",Amaryllidaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Allium cernuum Roth,Allium cernuum,"Pink, white","jul,aug",Amaryllidaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Allium tricoccum Aiton,Allium tricoccum,White,"jun,jul",Amaryllidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Allium vineale L.,Allium vineale,"Purplish, greenish","may,jul",Amaryllidaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Althaea officinalis L.,Althaea offinalis,Pale-rose,"jul, sep",Malvaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Amaranthus albus L.,Amaranthus albus,Green,"jun,oct",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,TRUE
Amaranthus hybridus L.,Amaranthus hybridus,Green,"jun,nov",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Amaranthus retroflexus L.,Amaranthus retroflexus,Green,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Ambrosia artemisiifolia L.,Ambrosia artemisiifolia,Green,"jul,sep",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Ambrosia trifida L.,Ambrosia trifida,Green,"jul,sep",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Amianthium muscitoxicum (Walter) A.Gray,Amianthium muscaetoxicum,"White, green","apr,aug",Melanthiaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Anagallis arvensis L.,Anagallis arvensis,Scarlet,"jun,aug",Myrsinaceae,red,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Anaphalis margaritacea (L.) Benth. & Hook.f.,Anaphalis margaritacea,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Anemone canadensis L.,Anemone canadensis,White,"may,jul",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Anemone cylindrica A.Gray,Anemone cylindrica,Greenish white,"jun,aug",Ranunculaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Anemone lancifolia Pursh,Anemone lancifolia,White,"apr,jun",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Anemone quinquefolia L.,Anemone quinquefolia,"White, pinkish","apr,jun",Ranunculaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Anemone virginiana L.,Anemone riparia,White,"jun,aug",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Angelica atropurpurea L.,Angelica atropurpurea,Greenish white,jun,Apiaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Angelica venenosa (Greenway) Fernald,Angelica venenosa,White,"may, jul",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Antennaria neglecta Greene,Antennaria neglecta,White,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Antennaria howellii (Greene) R.J.Bayer,Antennaria neodioica,White,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Antennaria parlinii Fernald,Antennaria parlinii,White,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Antennaria plantaginifolia (L.) Richardson,Antennaria plantaginifolia,White,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Antennaria solitaria Rydb.,Antennaria solitaria,White,"mar,apr",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
Anthemis arvensis L.,Anthemis arvensis,White,"may,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Anthemis cotula L.,Anthemis cotula,White,"jun,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE
